Classe	Parametro
Word Order	"WALS.PARAM:Order of Subject, Object and Verb"
Word Order	"WALS.PARAM:Order of Adjective and Noun"
Word Order	"WALS.PARAM:Order of Demonstrative and Noun"
Word Order	"WALS.PARAM:Order of Numeral and Noun"
Word Order	"WALS.PARAM:Position of Polar Question Particles"
Word Order	"WALS.PARAM:Position of Interrogative Phrases in Content Questions"
Simple Clauses	"WALS.PARAM:Polar Questions"
Morphology	"WALS.PARAM:Prefixing vs. Suffixing in Inflectional Morphology"
Nominal Categories	"WALS.PARAM:Definite Articles"
Nominal Categories	"WALS.PARAM:Indefinite Articles"
Nominal Categories	"WALS.PARAM:Position of Pronominal Possessive Affixes"
Verbal Categories	"WALS.PARAM:Position of Tense-Aspect Affixes"
Word Order	"WALS.PARAM:Order of Adposition and Noun Phrase"
Word Order	"WALS.PARAM:Order of Genitive and Noun"
Word Order	"WALS.PARAM:Order of Relative Clause and Noun"
Word Order	"WALS.PARAM:Postnominal relative clauses"
Simple Clauses	"WALS.PARAM:Expression of Pronominal Subjects"
Verbal Categories	"WALS.PARAM:The Morphological Imperative"
Verbal Categories	"WALS.PARAM:The Prohibitive"
Phonology	"WALS.PARAM:Syllable Structure"
Nominal Categories	"WALS.PARAM:Plurality in Independent Personal Pronouns"
Nominal Categories	"WALS.PARAM:Inclusive/Exclusive Distinction in Independent Pronouns"
Nominal Categories	"WALS.PARAM:Inclusive/Exclusive Distinction in Verbal Inflection"
Nominal Categories	"WALS.PARAM:Gender Distinctions in Independent Personal Pronouns"
Nominal Categories	"WALS.PARAM:Person Marking on Adpositions"
Nominal Categories	"WALS.PARAM:Number of Cases"
Verbal Categories	"WALS.PARAM:Perfective/Imperfective Aspect"
Verbal Categories	"WALS.PARAM:The Past Tense"
Verbal Categories	"WALS.PARAM:The Future Tense"
Verbal Categories	"WALS.PARAM:Semantic Distinctions of Evidentiality"
Verbal Categories	"WALS.PARAM:Coding of Evidentiality"
Word Order	"WALS.PARAM:Order of Degree Word and Adjective"
Word Order	"WALS.PARAM:Order of Adverbial Subordinator and Clause"
Simple Clauses	"WALS.PARAM:Alignment of Case Marking of Full Noun Phrases"
