iso	glottocode	name	status	WRITING	DEVELOPMENT	USE	SIGN_LANGUAGE	UNWRITTEN	LITERATURE	NEWSPAPERS	TV	RADIO	TAUGHT	SHIFTING	SHIFTED	NT	OT	BIBLE	Dictionary	Grammar	LITERACY_L1	LITERACY_L2	Writing	Language Development	Language Use
zas	sant1450	Zapotec, Santo Domingo Albarradas	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	1	0		0	0	1%.	80%.	Latin script [Latn].	Literacy rate in L1: 1%. Literacy rate in L2: 80%. Videos. NT: 2010.	Since 1979 Santo Domingo users have shown increasing preference for Zapotec, but in Santa María reportedly diminishing use. Some immigrant Mixe have learned local Zapotec, but few Zapotec learn Mixe. Also use Spanish [spa].
sks	maia1254	Maia	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		0	0	25%–50%.	50%–75%.	Latin script [Latn].	Literacy rate in L1: 25%–50%. Literacy rate in L2: 50%–75%. Bible portions: 1988–2013.	Used by all. Positive attitudes. All also use Tok Pisin [tpi]. Used as L2 by Miani [pla].
mnx	mani1235	Manikion	Primarily oral	NOT_EMPTY	NOT_EMPTY	EMPTY	0	0	0	0	0	0	0	0	0	1	0		0	0	N/A	N/A	Latin script [Latn].	NT: 1997.	
tkn	toku1246	Toku-No-Shima	Primarily oral	EMPTY	EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	1	0	0	0		0	0	N/A	N/A			Adults only. Younger generation has passive understanding but cannot speak it (Okamura 2010). Shifting to Japanese [jpn].
byk	biao1253	Biao	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	1	N/A	N/A	Unwritten [Qaax].	There is an effort to use more standard Mandarin in schools in the Biaoarea. Grammar.	Vigorous. All domains. Used by all. Positive attitudes. Also use YueChinese [yue], specifically a local dialect, when communicating with Chinese-speaking Han andZhuang people.
xul	ngun1277	Ngunawal	Primarily oral	NOT_EMPTY	EMPTY	EMPTY	0	1	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Unwritten [Qaax].		
gim	gimi1243	Gimi (Eastern Highlands)	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	1	0		0	0	5%–15%.	5%–15%.	Latin script [Latn].	Literacy rate in L1: 5%–15%. Literacy rate in L2: 5%–15%. NT: 1994.	Used by all. Many also use Tok Pisin [tpi]. A few also use English [eng].
lsa	lasg1238	Lasgerdi	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		1	0	N/A	72%.	Arabic script, Nastaliq variant [Aran].	Literacy rate in L2: 72%. Dictionary.	Used by all. Also use Iranian Persian [pes].
llk	lela1246	Lelak	Primarily oral	NOT_EMPTY	EMPTY	NOT_EMPTY	0	1	0	0	0	0	0	0	1	0	0		0	0	N/A	N/A	Unwritten [Qaax].		Shifted to Central Berawan [zbc].
bsq	nucl1418	Bassa	Primarily oral	NOT_EMPTY	NOT_EMPTY	NOT_EMPTY	0	0	0	0	0	0	0	0	0	0	0		0	0	N/A	N/A	Bassa Vah script [Bass], used by older men. Latin script [Latn].	Bible: 2005.	Also use Liberian English [lir]. Used as L2 by Gbii [ggb].
